task,stage,decisive,value,artifact,receipt
"operator-rate, reasoning traces (oprate/case)",full panel,every window cell below the visible event-sentence evidence line at matched T (binding oprate § 3d rule),,experiments/explorations/task_hunt/oprate/results/stage2_ward_real_oprate_case_base_l12.json + oprate evidence-line artifact; variance: experiments/explorations/task_hunt/support_stats/stage2_variance_oprate_case.md,oprate panel verdict LOG 2026-07-25
"punctuation-intensity, web text ×3 models (punctint-q)",full panel ×3,"llama31 (strongest token code): pre−tsae gap NEGATIVE −0.018 (T4) / −0.014 (T8); gpt2 +0.028 under the +0.05 bar; gemma K1 +0.0541 BCa [−0.0017, +0.0861] not bounded",-0.018,experiments/explorations/task_hunt/qrate_fineweb/results/stage2_fineweb_punctint_q_*.json; experiments/explorations/task_hunt/support_stats/stage2_variance_qrate_*.md,"R13, R18, R19"
"turn-length trend, dialogue (ttrend) — P4 fail",full panel 102 cells,untrained stacked recovers 0.809 of trained at the winning cell (stacked/T32: 0.2180 trained vs 0.1763 untrained); untrained pre beats trained pre,0.809,experiments/explorations/task_hunt/diafaces/results/stage2_dial_real_ttrend_gpt2_l7.json,tt panel verdict LOG 19f087243 + mac-local licence 0eb6b22ea
sentence-length recency latch (slen/lat),screen ×2 models,max within-window shuffle cost 0.019 across ALL slen cells vs width-corrected window content to +0.147 — the pre-registered recency ladder collapsed,0.019,"experiments/explorations/task_hunt/slen/results/screen_gpt2.json, screen_llama31_8b.json",R20
sentence-length level (slen/lev),screen,order-free window gain +0.067/+0.115 at T64 (gpt2/llama) with shuffle cost ≈ 0; within-doc control passes at +0.046/+0.092,0.115,experiments/explorations/task_hunt/slen/results/screen_*.json,R21
sentence-length dispersion (slen/disp),screen,per-token acc 0.378/0.375 vs chance 0.333 — label nearly per-token-invisible; no KEEP rule fired,0.378,experiments/explorations/task_hunt/slen/results/screen_*.json,slen verdict LOG 2026-07-25 (disp WEAK)
"refusal-marker recurrence, chat logs (refmark)",screen ×2,gpt2: best window arm at T ≥ 8 sits −0.008 BELOW the visible marker-count floor (worst −0.069) and the within-conversation control is flat (max |Δ| 0.015),-0.008,"experiments/explorations/task_hunt/refmark/results/screen_gpt2.json, screen_llama31_8b.json",R23
"quoted-speech intensity, fiction (quotedens) — deferred positive",screen (passed),bounded above T32: window minus visible quote-count floor −0.079/−0.139 at T64; order-free (shuffle ≤ 0.016); class prior 0-for-2 at panels,-0.139,experiments/explorations/task_hunt/quotedens/results/screen_*.json,R24
dialogue turn-length level (dialevel) — naive route dead,screen + design probe,doc-mean-only identity probe reads the naive label at 0.983/0.986/0.984 AUC (gpt2/gemma/llama); within-dialogue control drops it to 0.517/0.532/0.538,0.983,experiments/explorations/task_hunt/dialevel/results/design_probe.json,dialevel CARD § 2; R11 (the shuffle counterexample § 5 uses)
topic-switch clock (interleave/tss),screen,converted: single-position code carries the signal; window adds nothing over per-token (see screen cells),,experiments/explorations/task_hunt/interleave/results/,CANDIDATES.md B1 thread (KILL→WITHDRAWN→KEEP-PENDING-REVIEW history disclosed)
novelty rate (web text),screen (verdict withdrawn),verdict withdrawn by author after best-window scoring defect; re-screen parked; collaborator-thread positive not cross-ratified,,CANDIDATES.md B2,withdrawal LOG 2026-07-25
equation-density (eqdens),triage kill,"manifest unigram bar fired at triage: gpt2 0.653 — label unigram-readable, free kill",0.653,CANDIDATES.md B6 (round-2 triage),CANDIDATES.md B6
